Symbol,Long/Short,Entry Price,Exit Price,Entry Date,Exit Date,Profit/Loss $,Profit/Loss %,Year
DWTI,Long,3/18/2016,$119.75 ,$141.05 ,3/23/2016,17.79%,2015,
BA,Short,3/21/2016,$136.50 ,$125.75 ,3/31/2016,7.88%,2015,
VRX,Long,3/31/2016,$26.95 ,$32.35 ,4/6/2016,20.04%,2015,
AAPL,Short,4/4/2016,$111.75 ,$104.00 ,4/26/2016,6.94%,2015,
NFLX,Short,4/6/2016,$102.50 ,$94.00 ,4/18/2016,8.29%,2015,
KNDI,Long,4/8/2016,$7.10 ,$8.07 ,4/13/2016,13.66%,2015,
DUST,Long,4/11/2016,$2.15 ,$2.50 ,4/14/2016,16.28%,2015,
VRX,Long,4/12/2016,$31.20 ,$34.70 ,4/19/2016,11.22%,2015,
AMZN,Short,4/18/2016,$636.00 ,$614.50 ,4/22/2016,3.38%,2015,
SPXU,Long,4/19/2016,$27.20 ,$28.05 ,6/14/2016,3.13%,2015,
DUST,Long,4/19/2016,$1.64 ,$1.69 ,5/4/2016,3.10%,2015,
FAZ,Long,4/19/2016,$38.14 ,$39.45 ,6/14/2016,3.44%,2015,
DWTI,Long,4/21/2016,$84.60 ,$84.80 ,6/16/2016,0.24%,2015,
ERY,Long,4/22/2016,$17.10 ,$19.20 ,5/9/2016,12.28%,2015,
EGLE,Long,4/27/2016,$0.50 ,$0.62 ,4/27/2016,24.00%,2015,
PRGO,Long,4/28/2016,$93.10 ,$98.10 ,5/31/2016,5.37%,2015,
BIB,Long,5/4/2016,$39.90 ,$43.05 ,5/24/2016,7.90%,2015,
DUST,Long,5/6/2016,$1.32 ,$1.62 ,5/9/2016,24.24%,2015,
DUST,Long,5/13/2016,$13.60 ,$15.00 ,5/18/2016,10.29%,2015,
SCO,Long,5/17/2016,$82.94 ,$84.82 ,5/19/2016,2.20%,2015,
ERY,Long,5/17/2016,$15.95 ,$17.62 ,6/16/2016,10.47%,2015,
NKE,Long,5/19/2016,$56.84 ,$52.73 ,6/28/2016,-7.23%,2015,
HAL,Short,5/20/2016,$42.67 ,$42.00 ,6/27/2016,1.57%,2015,
EQIX,Short,5/23/2016,$355.18 ,$343.28 ,10/5/2016,3.35%,2015,
AMZN,Short,5/24/2016,$715.05 ,$698.25 ,6/24/2016,2.35%,2015,
ZFGN,Long,5/24/2016,$6.98 ,$7.71 ,6/2/2016,10.46%,2015,
NVDA,Short,5/31/2016,$54.18 ,$109.25 ,12/28/2016,-101.64%,2015,
SOXS,Long,5/31/2016,$28.25 ,$29.45 ,6/14/2016,4.25%,2015,
LABD,Long,6/2/2016,$29.82 ,$32.80 ,6/3/2016,10.06%,2015,
TWTR,Long,6/6/2016,$15.35 ,$16.35 ,6/15/2016,6.52%,2015,
KNDI,Long,6/7/2016,$6.97 ,$7.70 ,8/8/2016,10.47%,2015,
TWM,Long,6/7/2016,$33.75 ,$36.02 ,6/16/2016,6.70%,2015,
SCO,Long,6/8/2016,$75.66 ,$84.41 ,6/16/2016,11.81%,2015,
DUST,Long,6/10/2016,$9.30 ,$11.00 ,6/14/2016,18.28%,2015,
VRX,Long,6/14/2016,$21.27 ,$24.07 ,7/7/2016,13.16%,2015,
SPWR,Long,6/14/2016,$15.03 ,$15.53 ,6/30/2016,3.33%,2015,
WFM,Long,6/15/2016,$31.35 ,$32.05 ,6/30/2016,2.32%,2015,
DUST,Long,6/15/2016,$9.30 ,$11.00 ,6/20/2016,18.23%,2015,
VLTC,Long,6/16/2016,$3.50 ,$2.40 ,12/28/2016,-31.43%,2015,
FH,Long,6/21/2016,$2.15 ,$2.70 ,9/27/2016,25.58%,2015,
BIB,Long,6/21/2016,$36.82 ,$37.70 ,6/29/2016,2.39%,2015,
CMG,Long,6/22/2016,$394.27 ,$408.00 ,6/23/2016,3.48%,2015,
DWTI,Long,6/23/2016,$71.45 ,$78.95 ,6/24/2016,10.50%,2015,
SOXS,Long,6/23/2016,$26.85 ,$29.85 ,6/24/2016,11.17%,2015,
ALXN,Long,6/24/2016,$113.00 ,$118.90 ,7/1/2016,5.22%,2015,
AAL,Long,6/24/2016,$26.90 ,$27.90 ,6/29/2016,3.72%,2015,
DB,Long,6/27/2016,$13.36 ,$14.53 ,7/14/2016,8.76%,2015,
YY,Long,6/27/2016,$31.80 ,$33.85 ,6/28/2016,6.45%,2015,
CMG,Long,6/28/2016,$389.85 ,$405.85 ,6/29/2016,4.10%,2015,
QID,Long,6/30/2016,$27.76 ,$23.41 ,12/28/2016,-15.67%,2015,
VXX,Long,6/30/2016,$44.40 ,$24.65 ,12/28/2016,-44.48%,2015,
SPXU,Long,6/30/2016,$24.92 ,$25.82 ,11/3/2016,3.61%,2015,
SPXU,Long,6/30/2016,$24.92 ,$25.82 ,11/3/2016,3.61%,2015,
FAZ,Long,6/30/2016,$37.95 ,$40.55 ,7/6/2016,6.85%,2015,
HAL,Short,6/30/2016,$45.13 ,$42.78 ,8/31/2016,5.21%,2015,
SLW,Short,7/1/2016,$24.55 ,$23.65 ,10/4/2016,3.67%,2015,
DUST,Long,7/5/2016,$6.36 ,$6.84 ,7/20/2016,7.55%,2015,
JDST,Long,7/6/2016,$6.00 ,$6.65 ,7/20/2016,12.50%,2015,
AMZN,Short,7/7/2016,$758.28 ,$738.00 ,11/10/2016,2.64%,2015,
TZA,Long,7/11/2016,$30.70 ,$32.20 ,11/2/2016,4.89%,2015,
TZA,Long,7/11/2016,$30.70 ,$32.20 ,11/2/2016,4.89%,2015,
FAZ,Long,7/12/2016,$33.86 ,$21.75 ,12/28/2016,-35.76%,2015,
TWM,Long,7/12/2016,$31.87 ,$27.14 ,11/11/2016,-14.84%,2015,
SJB,Long,7/13/2016,$25.77 ,$25.81 ,11/11/2016,0.16%,2015,
SOXS,Long,7/18/2016,$22.66 ,$10.30 ,12/28/2016,-54.54%,2015,
FB,Short,7/20/2016,$126.55 ,$119.50 ,11/2/2016,5.57%,2015,
FB,Short,7/20/2016,$126.55 ,$119.50 ,11/2/2016,5.57%,2015,
TBT,Long,7/25/2016,$29.95 ,$33.75 ,9/15/2016,12.69%,2015,
HD,Short,7/25/2016,$136.50 ,$131.30 ,9/8/2016,3.81%,2015,
UCO,Long,8/2/2016,$7.78 ,$8.72 ,8/4/2016,12.08%,2015,
NUE,Short,8/9/2016,$52.93 ,$49.89 ,9/9/2016,5.73%,2015,
AAPL,Short,8/16/2016,$110.10 ,$105.00 ,9/9/2016,4.63%,2015,
SCO,Long,8/16/2016,$84.12 ,$92.50 ,8/31/2016,10.00%,2015,
WMT,Long,8/29/2016,$71.28 ,$72.30 ,9/22/2016,1.43%,2015,
MYL,Long,9/5/2016,$40.00 ,$42.00 ,9/19/2016,5.00%,2015,
BABA,Short,9/6/2016,$105.25 ,$100.25 ,10/13/2016,4.75%,2015,
SCO,Long,9/8/2016,$82.50 ,$92.50 ,9/12/2016,12.12%,2015,
BMY,Long,9/9/2016,$52.90 ,$56.50 ,11/9/2016,6.81%,2015,
SPWR,Long,9/14/2016,$7.85 ,$8.30 ,9/22/2016,5.73%,2015,
SAEX,Long,9/15/2016,$8.25 ,$9.55 ,9/22/2016,15.58%,2015,
AAPL,Short,9/15/2016,$114.10 ,$108.70 ,11/4/2016,4.73%,2015,
AAPL,Long,9/15/2016,$114.10 ,$108.70 ,11/4/2016,4.73%,2015,
TBT,Long,9/22/2016,$31.12 ,$33.20 ,10/6/2016,6.68%,2015,
FCEL,Long,9/28/2016,$5.35 ,$1.95 ,12/28/2016,-63.55%,2015,
JBLU,Long,9/30/2016,$17.25 ,$18.60 ,10/24/2016,7.83%,2015,
MYL,Long,10/3/2016,$36.67 ,$40.25 ,10/10/2016,9.76%,2015,
SCO,Long,10/5/2016,$72.67 ,$80.50 ,10/31/2016,10.85%,2015,
SCO,Long,10/5/2016,$72.62 ,$80.50 ,10/31/2016,10.85%,2015,
GDX,Long,10/6/2016,$22.85 ,$24.75 ,10/19/2016,8.32%,2015,
TWTR,Long,10/10/2016,$17.25 ,$19.05 ,11/9/2016,10.44%,2015,
CELG,Long,10/13/2016,$100.60 ,$104.60 ,10/27/2016,3.98%,2015,
CMG,Long,10/18/2016,$394.00 ,$414.00 ,10/21/2016,5.08%,2015,
RLGY,Long,10/21/2016,$23.32 ,$24.82 ,11/29/2016,6.43%,2015,
FIVE,Long,10/24/2016,$36.62 ,$37.49 ,10/27/2016,2.36%,2015,
LABU,Long,10/25/2016,$29.18 ,$30.05 ,11/7/2016,2.98%,2015,
TWLO,Long,10/27/2016,$36.32 ,$38.32 ,11/21/2016,5.51%,2015,
UCO,Long,11/3/2016,$8.75 ,$8.98 ,11/15/2016,2.63%,2015,
UGAZ,Long,11/8/2016,$21.10 ,$23.60 ,11/9/2016,11.85%,2015,
VRX,Long,11/9/2016,$25.47 ,$14.35 ,12/28/2016,-43.66%,2015,
SPXU,Long,11/9/2016,$22.72 ,$20.25 ,12/28/2016,-10.87%,2015,
JPM,Short,11/10/2016,$77.00 ,$86.43 ,12/28/2016,-12.25%,2015,
TZA,Long,11/10/2016,$26.55 ,$20.45 ,12/6/2016,-22.97%,2015,
NUGT,Long,11/11/2016,$7.85 ,$9.00 ,11/14/2016,14.65%,2015,
TMF,Long,11/14/2016,$18.70 ,$17.86 ,12/28/2016,-4.49%,2015,
AA,Short,11/16/2016,$31.50 ,$29.41 ,12/28/2016,6.67%,2015,
DRYS,Long,11/17/2016,$12.50 ,$18.00 ,11/18/2016,44.00%,2015,
NUGT,Long,11/21/2016,$7.28 ,$7.13 ,12/28/2016,-2.06%,2015,
DRYS,Long,11/23/2016,$5.50 ,$6.35 ,12/1/2016,15.45%,2015,
TEVA,Short,11/28/2016,$37.95 ,$33.95 ,1/13/2017,-10.54%,2015,
GS,Short,11/30/2016,$222.35 ,$240.68 ,12/28/2016,-8.24%,2015,
SRPT,Long,12/1/2016,$32.75 ,$28.43 ,12/28/2016,-13.19%,2015,
SCO,Long,12/5/2016,$65.50 ,$71.55 ,12/7/2016,9.24%,2015,
BAC,Short,12/6/2016,$22.11 ,$22.29 ,12/28/2016,-0.81%,2015,
X,Short,12/7/2016,$37.75 ,$34.90 ,12/12/2016,7.55%,2015,
MAR,Short,12/8/2016,$84.05 ,$83.36 ,12/28/2016,0.82%,2015,
TMUS,Short,12/8/2016,$59.05 ,$57.98 ,12/28/2016,1.81%,2015,
GILD,Long,12/9/2016,$72.20 ,$76.20 ,12/14/2016,5.54%,2015,
TZA,Long,12/9/2016,$18.70 ,$19.86 ,12/28/2016,6.15%,2015,
SAEX,Long,12/12/2016,$8.45 ,$7.52 ,12/28/2016,-11.00%,2015,
LABU,Long,12/15/2016,$35.00 ,$33.02 ,12/28/2016,-5.66%,2015,
SWN,Long,1/5/2015,$25.95 ,$26.70 ,2/3/2015,2.89%,2015,
BAX,Long,1/6/2015,$71.05 ,$72.13 ,1/14/2015,1.51%,2015,
XONE,Long,1/7/2015,$15.23 ,$16.25 ,2/11/2015,6.70%,2015,
HD,Short,1/8/2015,$106.90 ,$104.30 ,2/12/2015,2.43%,2015,
CUBA,Long,1/8/2015,$8.47 ,$9.64 ,1/23/2015,13.81%,2015,
CRR,Long,1/8/2015,$36.33 ,$39.23 ,2/10/2015,7.98%,2015,
USO,Long,1/9/2015,$18.40 ,$19.05 ,2/3/2015,3.53%,2015,
SDRL,Long,1/9/2015,$10.82 ,$12.37 ,2/3/2015,14.33%,2015,
GM,Short,1/9/2015,$36.19 ,$33.55 ,1/29/2015,7.27%,2015,
ADBE,Long,1/14/2015,$70.25 ,$71.28 ,1/28/2015,1.45%,2015,
BBRY,Long,1/20/2015,$9.89 ,$10.85 ,1/22/2015,9.71%,2015,
JRJC,Long,1/21/2015,$5.00 ,$5.80 ,2/17/2015,16.00%,2015,
IBIO,Long,1/21/2015,$0.47 ,$0.68 ,2/5/2015,44.68%,2015,
BAC,Long,1/22/2015,$15.52 ,$15.86 ,1/27/2015,2.15%,2015,
S,Long,1/27/2015,$4.35 ,$4.62 ,2/4/2015,6.21%,2015,
BBRY,Long,1/29/2015,$9.95 ,$10.85 ,2/26/2015,9.05%,2015,
PBR,Long,1/30/2015,$5.95 ,$6.97 ,2/3/2015,17.14%,2015,
BAX,Long,2/3/2015,$70.23 ,$70.03 ,4/9/2015,-0.29%,2015,
SNY,Long,2/4/2015,$46.35 ,$48.05 ,2/5/2015,3.67%,2015,
USO,Long,2/4/2015,$18.15 ,$19.75 ,2/6/2015,8.82%,2015,
ARNA,Long,2/5/2015,$4.38 ,$4.89 ,2/19/2015,11.64%,2015,
SINA,Long,2/9/2015,$36.97 ,$37.07 ,4/8/2015,0.27%,2015,
DDD,Long,2/10/2015,$28.80 ,$31.60 ,2/11/2015,9.72%,2015,
YOKU,Long,2/11/2015,$17.40 ,$16.10 ,4/8/2015,-7.47%,2015,
AVAV,Long,2/11/2015,$26.25 ,$27.80 ,2/18/2015,5.91%,2015,
SPY,Short,2/12/2015,$208.05 ,$211.74 ,2/24/2015,-1.77%,2015,
GS,Short,2/13/2015,$190.85 ,$187.50 ,3/6/2015,1.75%,2015,
HD,Long,2/13/2015,$112.10 ,$108.40 ,4/29/2015,3.30%,2015,
PLUG,Long,2/19/2015,$2.76 ,$2.88 ,11/3/2015,4.35%,2015,
TMUS,Long,2/20/2015,$31.80 ,$31.66 ,2/20/2015,-0.44%,2015,
SLW,Long,2/23/2015,$20.96 ,$21.10 ,5/14/2015,0.67%,2015,
MOBI,Long,2/24/2015,$3.74 ,$4.21 ,2/26/2015,12.57%,2015,
XONE,Long,2/24/2015,$14.65 ,$16.05 ,2/26/2015,9.56%,2015,
RIG,Long,2/24/2015,$14.65 ,$15.35 ,3/18/2015,4.78%,2015,
HST,Long,2/26/2015,$21.13 ,$20.46 ,4/29/2015,-3.17%,2015,
KNDI,Long,2/26/2015,$13.40 ,$14.77 ,3/16/2015,10.22%,2015,
ADBE,Short,3/2/2015,$79.45 ,$77.20 ,3/4/2015,2.83%,2015,
MBLY,Long,3/3/2015,$33.45 ,$37.75 ,3/5/2015,12.85%,2015,
NQ,Long,3/3/2015,$3.97 ,$4.37 ,4/16/2015,10.08%,2015,
SDRL,Long,3/4/2015,$10.04 ,$10.68 ,4/7/2015,6.38%,2015,
CHK,Long,3/5/2015,$14.55 ,$15.42 ,4/7/2015,5.98%,2015,
FXE,Long,3/6/2015,$106.95 ,$108.35 ,4/6/2015,1.31%,2015,
EXC,Long,3/9/2015,$32.11 ,$33.64 ,4/21/2015,4.74%,2015,
SWN,Long,3/9/2015,$23.20 ,$24.70 ,4/7/2015,6.47%,2015,
GENE,Long,3/11/2015,$4.59 ,$5.20 ,3/13/2015,13.29%,2015,
MU,Long,3/12/2015,$28.06 ,$27.13 ,4/1/2015,-3.31%,2015,
MOS,Long,3/16/2015,$45.95 ,$47.95 ,3/18/2015,4.35%,2015,
UCO,Long,3/18/2015,$5.95 ,$6.70 ,3/18/2015,11.77%,2015,
GENE,Long,3/19/2015,$3.66 ,$4.53 ,3/30/2015,23.77%,2015,
LULU,Short,3/20/2015,$64.65 ,$61.30 ,3/25/2015,5.18%,2015,
JRJC,Long,3/23/2015,$5.15 ,$5.02 ,4/8/2015,-2.52%,2015,
WFM,Long,3/25/2015,$52.64 ,$48.79 ,4/17/2015,-7.31%,2015,
BAC,Long,3/26/2015,$15.35 ,$15.89 ,4/14/2015,3.52%,2015,
LL,Long,3/26/2015,$29.85 ,$34.00 ,4/1/2015,13.90%,2015,
QCOM,Long,3/26/2015,$66.00 ,$68.95 ,3/30/2015,4.47%,2015,
SSYS,Long,3/31/2015,$51.75 ,$55.45 ,4/7/2015,7.15%,2015,
Z,Long,4/1/2015,$96.50 ,$97.04 ,4/16/2015,0.56%,2015,
VXX,Long,4/7/2015,$22.95 ,$24.35 ,8/24/2015,6.10%,2015,
FXP,Long,4/9/2015,$26.50 ,$28.00 ,4/17/2015,5.66%,2015,
DIS,Short,4/10/2015,$113.54 ,$113.50 ,8/4/2015,0.01%,2015,
DD,Long,4/10/2015,$71.96 ,$72.40 ,4/20/2015,0.61%,2015,
SWKS,Short,4/10/2015,$99.15 ,$93.50 ,4/24/2015,5.70%,2015,
IBB,Short,4/13/2015,$359.70 ,$340.70 ,4/28/2015,5.28%,2015,
IWM,Short,4/13/2015,$126.00 ,$120.90 ,4/30/2015,5.10%,2015,
CNET,Long,4/14/2015,$1.72 ,$1.00 ,12/28/2016,-41.86%,2015,
LL,Long,4/15/2015,$33.30 ,$33.46 ,4/28/2015,0.48%,2015,
JPM,Short,4/15/2015,$63.90 ,$61.80 ,4/28/2015,3.29%,2015,
ASML,Long,4/17/2015,$94.56 ,$103.97 ,4/22/2015,9.95%,2015,
SLB,Short,4/17/2015,$94.15 ,$90.65 ,4/21/2015,3.72%,2015,
SLV,Long,4/21/2015,$15.27 ,$15.97 ,4/29/2015,4.58%,2015,
FXP,Long,4/22/2015,$25.20 ,$26.87 ,5/5/2015,6.63%,2015,
UNG,Long,4/23/2015,$12.80 ,$13.55 ,4/30/2015,5.86%,2015,
DE,Short,4/27/2015,$89.00 ,$92.50 ,7/24/2015,-3.93%,2015,
SRPT,Long,4/27/2015,$12.97 ,$14.40 ,5/6/2015,11.03%,2015,
EUO,Long,4/28/2015,$25.84 ,$24.06 ,5/6/2015,-6.88%,2015,
VLTC,Long,4/30/2015,$8.60 ,$9.55 ,4/30/2015,11.05%,2015,
SSYS,Long,4/30/2015,$35.52 ,$38.02 ,6/8/2015,7.04%,2015,
SDS,Long,5/4/2015,$20.25 ,$21.01 ,6/29/2015,2.96%,2015,
SAVE,Long,5/5/2015,$67.37 ,$62.56 ,5/22/2015,-7.13%,2015,
Z,Long,5/5/2015,$91.45 ,$98.25 ,5/11/2015,7.44%,2015,
VA,Long,5/6/2015,$27.65 ,$29.05 ,5/7/2015,5.06%,2015,
TWTR,Long,5/7/2015,$37.20 ,$38.70 ,7/14/2015,4.03%,2015,
AA,Long,5/11/2015,$13.02 ,$9.52 ,3/2/2016,-26.88%,2015,
JRJC,Long,5/12/2015,$5.35 ,$6.07 ,5/22/2015,13.46%,2015,
LL,Long,5/12/2015,$26.45 ,$21.80 ,5/21/2015,-17.58%,2015,
FLIR,Long,5/12/2015,$31.63 ,$30.79 ,5/28/2015,2.65%,2015,
BIS,Long,5/19/2015,$30.50 ,$26.80 ,6/22/2015,-12.13%,2015,
MSFT,Long,5/21/2015,$47.51 ,$46.97 ,7/21/2015,-1.13%,2015,
AAPL,Short,5/21/2015,$131.40 ,$125.65 ,6/9/2015,4.38%,2015,
SWKS,Short,5/21/2015,$105.90 ,$99.40 ,6/9/2015,6.14%,2015,
ICLD,Long,5/26/2015,$1.56 ,$0.03 ,12/28/2016,-98.09%,2015,
ADSK,Long,5/26/2015,$55.11 ,$52.20 ,6/26/2015,-5.28%,2015,
VLTC,Long,5/28/2015,$6.69 ,$7.69 ,6/3/2015,14.95%,2015,
WYNN,Long,6/1/2015,$98.45 ,$106.45 ,6/4/2015,8.13%,2015,
ICLD,Long,6/2/2015,$2.65 ,$3.35 ,6/3/2015,26.42%,2015,
TZA,Long,6/3/2015,$9.40 ,$9.72 ,6/29/2015,3.40%,2015,
SLV,Long,6/5/2015,$15.29 ,$15.28 ,10/6/2015,0.00%,2015,
CL,Long,6/8/2015,$65.14 ,$67.24 ,7/15/2015,3.22%,2015,
SHLD,Long,6/9/2015,$23.75 ,$24.10 ,8/7/2015,1.47%,2015,
DRYS,Long,6/10/2015,$0.69 ,$42.25 ,11/14/2016,-75.00%,2015,
IWM,Short,6/11/2015,$126.10 ,$124.90 ,6/29/2015,0.95%,2015,
SSYS,Long,6/12/2015,$35.44 ,$37.62 ,6/18/2015,6.15%,2015,
KMI,Long,6/15/2015,$38.76 ,$39.51 ,6/26/2015,1.92%,2015,
SHLD,Long,6/17/2015,$27.07 ,$29.05 ,6/19/2015,7.31%,2015,
AAL,Long,6/18/2015,$39.85 ,$40.63 ,6/29/2015,2.07%,2015,
LL,Long,6/18/2015,$20.85 ,$20.20 ,10/9/2015,-3.12%,2015,
DDD,Long,6/19/2015,$18.62 ,$12.50 ,3/3/2016,-32.87%,2015,
CHK,Long,6/19/2015,$11.60 ,$11.80 ,7/7/2015,1.72%,2015,
SWKS,Short,6/23/2015,$110.25 ,$103.15 ,6/29/2015,6.44%,2015,
UNG,Long,6/26/2015,$10.97 ,$9.71 ,12/28/2016,-11.49%,2015,
CRM,Long,6/29/2015,$71.66 ,$72.92 ,7/22/2015,3.25%,2015,
GREK,Long,6/29/2015,$9.91 ,$11.16 ,7/1/2015,12.61%,2015,
SSYS,Long,6/30/2015,$34.94 ,$36.54 ,7/27/2015,4.58%,2015,
GREK,Long,7/1/2015,$10.02 ,$11.27 ,7/10/2015,12.48%,2015,
FXI,Long,7/6/2015,$42.70 ,$37.60 ,8/20/2015,-11.94%,2015,
SINA,Long,7/7/2015,$44.15 ,$47.35 ,7/9/2015,7.25%,2015,
GDX,Long,7/13/2015,$1.34 ,$1.49 ,8/12/2015,11.19%,2015,
ABX,Long,7/14/2015,$8.54 ,$8.44 ,8/20/2015,-1.17%,2015,
JOY,Short,7/16/2015,$31.50 ,$28.77 ,7/24/2015,8.66%,2015,
TWTR,Long,7/16/2015,$35.80 ,$36.05 ,7/28/2015,0.70%,2015,
BIS,Long,7/20/2015,$24.17 ,$26.20 ,6/24/2015,8.40%,2015,
CHK,Long,7/22/2015,$8.79 ,$9.05 ,8/7/2015,2.96%,2015,
X,Long,7/24/2015,$16.50 ,$17.58 ,7/28/2015,6.55%,2015,
MU,Long,7/27/2015,$18.15 ,$19.55 ,7/28/2015,7.71%,2015,
NKE,Short,7/29/2015,$114.55 ,$110.90 ,8/12/2015,3.19%,2015,
NQ,Long,7/30/2015,$3.50 ,$4.20 ,8/26/2015,20.00%,2015,
JEC,Short,7/31/2015,$42.45 ,$41.51 ,8/21/2015,2.40%,2015,
XLE,Long,8/3/2015,$68.50 ,$68.60 ,10/7/2015,0.01%,2015,
USO,Long,8/7/2015,$14.65 ,$15.55 ,8/31/2015,6.14%,2015,
CHK,Long,8/7/2015,$7.99 ,$8.41 ,9/16/2015,5.26%,2015,
SUNE,Long,8/11/2015,$12.70 ,$15.50 ,8/13/2015,22.05%,2015,
SGG,Long,8/14/2015,$25.63 ,$27.47 ,9/3/2015,7.18%,2015,
SLB,Short,8/17/2015,$83.58 ,$80.46 ,8/21/2015,3.51%,2015,
MU,Long,8/18/2015,$15.24 ,$16.24 ,8/28/2015,6.56%,2015,
SUNE,Long,8/20/2015,$7.37 ,$6.82 ,12/17/2015,-7.46%,2015,
WYNN,Long,8/21/2015,$73.69 ,$70.69 ,10/7/2015,-4.07%,2015,
QQQ,Long,8/24/2015,$97.95 ,$102.15 ,8/25/2015,4.29%,2015,
QQQ,Long,8/24/2015,$97.35 ,$100.35 ,8/24/2015,3.08%,2015,
AAPL,Long,8/24/2015,$96.07 ,$103.27 ,8/24/2015,7.50%,2015,
QQQ,Long,8/25/2015,$99.15 ,$102.35 ,8/26/2015,3.23%,2015,
ABX,Long,8/26/2015,$6.58 ,$7.28 ,8/28/2015,10.64%,2015,
V,Long,8/31/2015,$71.67 ,$67.20 ,9/28/2015,-6.23%,2015,
QCOM,Long,9/2/2015,$55.25 ,$57.35 ,10/7/2015,3.80%,2015,
SINA,Long,9/3/2015,$38.25 ,$40.20 ,9/16/2015,5.10%,2015,
ED,Long,9/3/2015,$61.78 ,$64.54 ,10/7/2015,4.45%,2015,
WFM,Long,9/4/2015,$32.06 ,$33.11 ,10/23/2015,3.22%,2015,
NFLX,Long,9/8/2015,$93.70 ,$100.70 ,9/9/2015,7.47%,2015,
RSX,Short,9/10/2015,$15.62 ,$17.23 ,10/9/2015,-10.03%,2015,
TWTR,Long,9/11/2015,$27.35 ,$28.55 ,10/7/2015,4.39%,2015,
NFLX,Long,9/14/2015,$94.95 ,$102.15 ,9/16/2015,7.58%,2015,
YHOO,Long,9/21/2015,$31.05 ,$32.15 ,10/8/2015,3.54%,2015,
BABA,Long,9/24/2015,$59.00 ,$64.15 ,10/5/2015,8.73%,2015,
IBB,Long,9/28/2015,$293.50 ,$311.50 ,10/2/2015,6.13%,2015,
X,Long,10/1/2015,$9.85 ,$11.60 ,10/6/2015,17.77%,2015,
HD,Short,10/7/2015,$121.85 ,$120.25 ,10/13/2015,1.31%,2015,
XYL,Short,10/7/2015,$33.75 ,$36.28 ,10/28/2015,-7.49%,2015,
SDS,Long,10/8/2015,$20.96 ,$20.85 ,12/14/2015,-0.52%,2015,
TZA,Long,10/9/2015,$44.25 ,$47.05 ,10/14/2015,6.78%,2015,
VXX,Long,10/13/2015,$19.80 ,$21.35 ,11/13/2015,7.83%,2015,
AAPL,Short,10/13/2015,$116.75 ,$114.40 ,11/13/2015,2.01%,2015,
LL,Long,10/15/2015,$16.99 ,$18.20 ,12/15/2015,7.12%,2015,
TZA,Long,10/19/2015,$44.00 ,$45.40 ,11/13/2015,3.18%,2015,
QID,Long,10/22/2015,$29.98 ,$30.98 ,11/13/2015,3.34%,2015,
TRV,Long,10/26/2015,$112.85 ,$108.95 ,1/6/2016,3.46%,2015,
FB,Short,10/28/2015,$103.95 ,$101.35 ,11/16/2015,2.05%,2015,
BIS,Long,10/29/2015,$30.90 ,$32.50 ,12/11/2015,5.20%,2015,
GLD,Long,11/6/2015,$104.03 ,$105.82 ,1/7/2016,1.75%,2015,
SKX,Long,11/10/2015,$28.51 ,$25.45 ,11/13/2015,-10.73%,2015,
UCO,Long,11/13/2015,$15.60 ,$10.55 ,3/17/2016,-32.37%,2015,
CHK,Long,11/16/2015,$5.38 ,$4.20 ,3/2/2016,-21.93%,2015,
PFE,Long,11/19/2015,$32.00 ,$32.65 ,12/11/2015,2.03%,2015,
QID,Long,11/20/2015,$28.90 ,$30.15 ,12/11/2015,4.33%,2015,
TZA,Long,11/20/2015,$41.25 ,$43.75 ,12/8/2015,6.06%,2015,
VLTC,Long,11/24/2015,$3.45 ,$4.40 ,11/24/2015,27.54%,2015,
VXX,Long,11/25/2015,$18.64 ,$21.34 ,12/11/2015,14.50%,2015,
SSYS,Long,12/3/2015,$22.22 ,$20.55 ,3/1/2016,-7.52%,2015,
VLTC,Long,12/7/2015,$5.00 ,$5.55 ,12/17/2015,11.00%,2015,
X,Long,12/8/2015,$6.99 ,$8.24 ,12/10/2015,17.88%,2015,
ZFGN,Long,12/10/2015,$6.25 ,$9.05 ,1/20/2016,44.80%,2015,
QCOM,Long,12/11/2015,$47.80 ,$50.50 ,12/29/2015,5.64%,2015,
TNA,Long,12/14/2015,$59.30 ,$63.30 ,12/15/2015,6.75%,2015,
POT,Long,12/14/2015,$16.90 ,$18.05 ,12/23/2015,6.18%,2015,
DVN,Long,12/16/2015,$30.00 ,$33.20 ,12/23/2015,10.67%,2015,
X,Long,12/17/2015,$7.50 ,$8.60 ,12/21/2015,14.67%,2015,
SUNE,Long,12/22/2015,$4.55 ,$5.15 ,12/22/2015,13.19%,2015,
DGAZ,Long,12/29/2015,$12.45 ,$15.20 ,12/30/2015,22.09%,2015,
DELL,Short,$212.87 ,$208.87 ,4/21/2026,5/1/2026,"$1,200.00 ",1.88%,2014
SOXL,Short,$126.07 ,$107.97 ,4/24/2026,4/28/2026,"$18,100.00 ",14.36%,2014
CIEN,Short,$496.70 ,$461.63 ,4/2/2026,4/28/2026,"$9,052.00 ",3.31%,2014
NBIS,Short,$165.75 ,$149.63 ,4/14/2026,4/24/2026,"$4,836.00 ",9.73%,2014
COHR,Short,$351.56 ,$328.13 ,4/16/2026,4/23/2026,"$7,608.00 ",3.61%,2014
MU,Short,$467.30 ,$439.77 ,4/14/2026,4/20/2026,"$5,506.00 ",5.89%,2014
